"","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"2",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"3",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"4",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"5",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"6",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"7",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"8",64,"LF64: Mortality or fitness reduction due to increases in salinity",14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"9",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",14,0.928571428571429,13,0.0714285714285714,1,0,0,0,0,0,0,0,0,0,0
"10",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",14,0.928571428571429,13,0,0,0.0714285714285714,1,0,0,0,0,0,0,0,0
"11",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",14,0.928571428571429,13,0,0,0.0714285714285714,1,0,0,0,0,0,0,0,0
"12",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",14,0.928571428571429,13,0,0,0,0,0.0714285714285714,1,0,0,0,0,0,0
"13",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",14,0.928571428571429,13,0,0,0,0,0.0714285714285714,1,0,0,0,0,0,0
"14",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",14,0.928571428571429,13,0,0,0,0,0.0714285714285714,1,0,0,0,0,0,0
"15",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",14,0.928571428571429,13,0,0,0,0,0,0,0.0714285714285714,1,0,0,0,0
"16",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",14,0.928571428571429,13,0,0,0,0,0,0,0.0714285714285714,1,0,0,0,0
"17",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",14,0.928571428571429,13,0,0,0,0,0,0,0,0,0.0714285714285714,1,0,0
"18",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",14,0.928571428571429,13,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,1
"19",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",14,0.928571428571429,13,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,1
"20",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",14,0.857142857142857,12,0,0,0.142857142857143,2,0,0,0,0,0,0,0,0
"21",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",14,0.714285714285714,10,0.142857142857143,2,0.0714285714285714,1,0,0,0.0714285714285714,1,0,0,0,0
"22",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",14,0.714285714285714,10,0,0,0.285714285714286,4,0,0,0,0,0,0,0,0
"23",20,"LF20: Mortality or fitness reduction due to redd overspawn",14,0.714285714285714,10,0,0,0,0,0.0714285714285714,1,0.142857142857143,2,0.0714285714285714,1,0,0
"24",19,"LF19: Mortality or fitness reduction due to early alevin emergence",14,0.714285714285714,10,0,0,0,0,0,0,0.0714285714285714,1,0,0,0.214285714285714,3
"25",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",14,0.714285714285714,10,0,0,0,0,0,0,0,0,0,0,0.285714285714286,4
"26",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",14,0.714285714285714,10,0,0,0,0,0,0,0,0,0,0,0.285714285714286,4
"27",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",14,0.714285714285714,10,0,0,0,0,0,0,0,0,0,0,0.285714285714286,4
"28",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",14,0.642857142857143,9,0.142857142857143,2,0.214285714285714,3,0,0,0,0,0,0,0,0
"29",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",14,0.642857142857143,9,0.0714285714285714,1,0.285714285714286,4,0,0,0,0,0,0,0,0
"30",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",14,0.642857142857143,9,0.0714285714285714,1,0.142857142857143,2,0,0,0.142857142857143,2,0,0,0,0
"31",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",14,0.642857142857143,9,0,0,0.0714285714285714,1,0.142857142857143,2,0.142857142857143,2,0,0,0,0
"32",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",14,0.571428571428571,8,0,0,0.142857142857143,2,0.142857142857143,2,0.142857142857143,2,0,0,0,0
"33",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",14,0.571428571428571,8,0,0,0,0,0.0714285714285714,1,0.357142857142857,5,0,0,0,0
"34",15,"LF15: Mortality or fitness reduction due to deleterious substances",14,0.571428571428571,8,0,0,0,0,0.0714285714285714,1,0.0714285714285714,1,0.142857142857143,2,0.142857142857143,2
"35",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",14,0.571428571428571,8,0,0,0,0,0,0,0.142857142857143,2,0,0,0.285714285714286,4
"36",65,"LF65: Mortality or fitness reduction due to deleterious substances",14,0.5,7,0,0,0.0714285714285714,1,0,0,0.285714285714286,4,0,0,0.142857142857143,2
"37",30,"LF30: Mortality or fitness reduction as a result of elevated predation",14,0.5,7,0,0,0.0714285714285714,1,0,0,0.0714285714285714,1,0,0,0.357142857142857,5
"38",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",14,0.428571428571429,6,0.0714285714285714,1,0.428571428571429,6,0,0,0,0,0,0,0.0714285714285714,1
"39",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",14,0.357142857142857,5,0.0714285714285714,1,0.357142857142857,5,0.0714285714285714,1,0.142857142857143,2,0,0,0,0
"40",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",14,0.285714285714286,4,0.142857142857143,2,0.357142857142857,5,0,0,0.214285714285714,3,0,0,0,0
"41",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",14,0.285714285714286,4,0.142857142857143,2,0.357142857142857,5,0,0,0.214285714285714,3,0,0,0,0
"42",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",14,0.285714285714286,4,0,0,0.285714285714286,4,0.0714285714285714,1,0.285714285714286,4,0.0714285714285714,1,0,0
"43",29,"LF29: Mortality or fitness reduction due to deleterious substances",14,0.285714285714286,4,0,0,0,0,0,0,0,0,0.214285714285714,3,0.5,7
"44",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",14,0.214285714285714,3,0,0,0,0,0,0,0.785714285714286,11,0,0,0,0
"45",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",14,0.142857142857143,2,0,0,0.142857142857143,2,0.214285714285714,3,0.357142857142857,5,0.142857142857143,2,0,0
"46",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",14,0.0714285714285714,1,0.0714285714285714,1,0.357142857142857,5,0.357142857142857,5,0.142857142857143,2,0,0,0,0
"47",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",14,0.0714285714285714,1,0.0714285714285714,1,0.214285714285714,3,0,0,0.428571428571429,6,0,0,0.214285714285714,3
"48",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",14,0.0714285714285714,1,0,0,0,0,0,0,0.5,7,0.285714285714286,4,0.142857142857143,2
"49",66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",14,0.0714285714285714,1,0,0,0,0,0,0,0,0,0,0,0.928571428571429,13
"50",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",14,0,0,0.357142857142857,5,0.357142857142857,5,0,0,0.214285714285714,3,0,0,0.0714285714285714,1
"51",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",14,0,0,0.142857142857143,2,0.357142857142857,5,0.0714285714285714,1,0.285714285714286,4,0,0,0.142857142857143,2
"52",9,"LF9: Mortality or fitness reduction due to fishing",14,0,0,0.0714285714285714,1,0.214285714285714,3,0.214285714285714,3,0.428571428571429,6,0.0714285714285714,1,0,0
"53",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",14,0,0,0.0714285714285714,1,0.214285714285714,3,0.0714285714285714,1,0.571428571428571,8,0,0,0.0714285714285714,1
"54",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",14,0,0,0,0,0.285714285714286,4,0.285714285714286,4,0.357142857142857,5,0,0,0.0714285714285714,1
"55",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",14,0,0,0,0,0.214285714285714,3,0,0,0.642857142857143,9,0.0714285714285714,1,0.0714285714285714,1
"56",3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",14,0,0,0,0,0.142857142857143,2,0,0,0.785714285714286,11,0.0714285714285714,1,0,0
"57",34,"LF34: Mortality or fitness reduction due to competition from invasive species",14,0,0,0,0,0.0714285714285714,1,0,0,0.928571428571429,13,0,0,0,0
"58",16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",14,0,0,0,0,0.0714285714285714,1,0,0,0.714285714285714,10,0,0,0.214285714285714,3
"59",47,"LF47: Mortality or fitness reduction due to elevated predation",14,0,0,0,0,0,0,0.0714285714285714,1,0.714285714285714,10,0,0,0.214285714285714,3
"60",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",14,0,0,0,0,0,0,0.0714285714285714,1,0.0714285714285714,1,0,0,0.857142857142857,12
"61",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",14,0,0,0,0,0,0,0,0,1,14,0,0,0,0
"62",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",14,0,0,0,0,0,0,0,0,0.857142857142857,12,0,0,0.142857142857143,2
"63",48,"LF48: Mortality or fitness reduction due to predation by invasive species",14,0,0,0,0,0,0,0,0,0.785714285714286,11,0,0,0.214285714285714,3
"64",18,"LF18: Mortality due to redd disturbance by humans",14,0,0,0,0,0,0,0,0,0.714285714285714,10,0,0,0.285714285714286,4
"65",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",14,0,0,0,0,0,0,0,0,0.642857142857143,9,0.285714285714286,4,0.0714285714285714,1
"66",5,"LF5: Mortality or fitness reduction due to competition with invasive species",14,0,0,0,0,0,0,0,0,0.642857142857143,9,0.142857142857143,2,0.214285714285714,3
"67",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",14,0,0,0,0,0,0,0,0,0.0714285714285714,1,0,0,0.928571428571429,13
"68",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",14,0,0,0,0,0,0,0,0,0,0,0,0,1,14
